domain,topology,seed,within_island,between_island,pooled_exact,pooled_reconstructed,pooled_sampled_repro,pooled_published,final_best_fitness,final_mean_fitness
onemax,star_undirected,19,0.02342367,0.02363040,0.02358972,0.02358972,0.02450000,0.02450000,1.00000000,0.98804000
onemax,star_undirected,20,0.02274776,0.02298960,0.02294201,0.02294201,0.01900000,0.01900000,1.00000000,0.98836000
onemax,star_undirected,21,0.02235592,0.02257360,0.02253076,0.02253076,0.02450000,0.02450000,1.00000000,0.98860000
onemax,star_undirected,22,0.02591347,0.02620960,0.02615133,0.02615133,0.02600000,0.02600000,1.00000000,0.98672000
onemax,star_undirected,23,0.02121633,0.02140880,0.02137092,0.02137092,0.02350000,0.02350000,1.00000000,0.98916000
onemax,star_undirected,24,0.02532735,0.02567760,0.02560867,0.02560867,0.02650000,0.02650000,1.00000000,0.98700000
onemax,star_undirected,25,0.02407510,0.02434080,0.02428851,0.02428851,0.02050000,0.02050000,1.00000000,0.98768000
onemax,star_undirected,26,0.02492408,0.02513280,0.02509173,0.02509173,0.02150000,0.02150000,1.00000000,0.98728000
onemax,star_undirected,27,0.02809796,0.02838320,0.02832707,0.02832707,0.03000000,0.03000000,1.00000000,0.98560000
onemax,star_undirected,28,0.02686204,0.02736000,0.02726201,0.02726201,0.02450000,0.02450000,1.00000000,0.98612000
onemax,star_undirected,29,0.02358204,0.02421520,0.02409060,0.02409060,0.02550000,0.02550000,1.00000000,0.98776000
